STN,LON,LAT,HT
755,127.08534,35.15959,187.32
756,126.2819,35.6015,17.0
757,127.436,35.9744,259.02
758,127.57117,35.83519,320.16
759,127.57825,35.37162,480.56
760,126.9327,35.42739,281.93
761,126.9346,35.6508,13.53
762,127.1261,35.5198,169.02
763,127.062,36.0592,38.0
764,127.1414,35.6736,218.9
765,127.17239,34.92931,129.58
766,127.71496,34.84946,78.86
767,127.4559,34.60202,14.51
768,127.28531,35.28886,100.48
769,126.3718,35.21793,15.21
770,126.82001,34.92863,99.0
771,126.12455,34.75607,33.09
772,126.34298,34.4906,43.2
773,126.57182,34.69926,16.9
774,126.50208,34.93083,17.84
775,126.63222,35.18008,51.65
776,126.55307,34.46671,21.83
777,126.93462,34.55633,37.1
778,126.8218,34.79594,96.16
779,126.25809,33.39268,38.79
780,126.72083,33.27996,17.22
781,126.8519,33.52264,18.4
782,126.6194,33.38449,757.42
783,126.84076,35.23026,32.37
784,126.6071,34.86858,17.43
785,126.67607,34.46418,21.06
786,127.72,34.62,8.0
787,127.31716,34.50672,12.3
788,126.88132,35.13159,62.7
789,126.2929,34.87643,8.91
790,127.46735,34.53258,135.19
791,127.58376,35.26621,410.15
792,126.81682,33.3536,80.47
793,126.22626,33.24101,2.64
794,127.42708,35.10138,79.58
795,127.13899,35.27532,86.65
796,127.24476,34.23775,37.52
797,125.29953,34.39498,35.63
798,125.1833,34.6667,22.0
799,126.13494,35.20198,19.46
800,129.44368,36.72566,6.43
801,129.088,36.62497,217.0
802,129.34008,36.75743,142.31
803,129.0795,36.39139,208.73
804,129.33798,36.19957,59.93
805,129.09434,36.17929,227.04
806,128.2903,36.23336,41.05
807,128.6931,36.1794,112.0
808,129.56673,36.07597,11.41
809,127.96891,35.91794,235.7
810,128.25374,35.91507,48.28
811,129.20929,35.86299,32.36
812,128.28214,35.69603,41.19
813,128.73183,35.65404,77.53
814,128.65409,36.97888,294.44
815,128.4644,36.66002,100.89
816,129.5475,35.9831,42.37
817,129.21,36.7655,415.0
818,128.1476,36.7074,230.0
819,128.88641,36.65875,203.21
820,128.50645,36.55616,92.92
821,128.0739,36.2819,94.0
822,128.10164,36.08128,83.32
823,128.55577,36.24934,81.56
824,128.50008,36.0956,114.95
825,128.3813,36.03977,29.79
826,128.79003,36.04709,130.98
827,128.7416,35.82507,77.09
828,128.4233,35.6906,17.0
829,129.31815,35.71214,72.92
830,129.19957,36.06887,45.06
831,128.99708,37.04012,663.05
832,128.42855,36.39066,67.0
833,128.00368,36.60083,188.55
834,127.9344,36.4412,300.0
835,128.71601,36.89316,185.0
836,128.89548,36.27948,317.0
837,128.6429,36.8268,187.18
838,128.27046,36.79066,451.67
839,128.89443,36.45597,137.18
840,128.8144,35.9126,71.0
841,128.91106,36.08494,138.88
842,129.0109,35.7575,170.1
843,129.25013,36.93611,219.97
844,129.3585,36.4354,23.0
845,128.59068,35.90842,30.18
846,128.53095,35.86509,76.37
847,128.46637,36.27623,70.41
848,128.8953,35.6791,104.0
849,128.3870472,36.54678889,80.0
850,129.4906,35.7846,2.7
851,129.35206,37.05136,75.15
852,129.42575,37.06063,40.95
853,128.62129,36.01827,568.37
854,129.13357,35.49528,166.92
855,126.26833,33.1733,4.25
856,127.59815,35.1018,514.84
857,126.7173,34.3,4.43
858,126.17,34.4296,37.5
859,129.36576,35.76129,345.86
870,126.55571,33.36978,1488.56
871,126.51804,33.36239,1668.26
872,127.75629,35.31913,864.74
873,127.97023,37.2557,898.26
874,127.2053,38.221,206.65
875,128.46057,38.12106,1595.71
876,129.16214,37.45003,57.07
877,127.8048,37.3134,85.0
878,129.09608,37.22379,814.21
879,128.6794,37.661,852.2
881,126.52885,35.72945,10.49
882,126.6042,35.25177,107.74
885,126.6784,33.33147,246.3
886,126.5911,35.9504,10.0
900,129.1433,35.6202,123.0
901,129.43531,35.48678,67.64
902,127.8187,35.2424,186.0
903,128.51486,35.40387,13.66
905,129.03788,35.33499,40.64
906,127.64269,35.23236,89.59
907,128.05971,34.92895,23.18
908,128.75,35.12,15.0
909,128.73823,34.78774,111.46
910,129.0742,35.06608,137.94
911,128.57715,34.64893,69.02
912,127.77834,35.52627,139.44
913,127.98155,34.7238,19.65
914,127.6955,35.6477,340.0
915,128.10178,35.41353,85.28
916,127.96692,35.3111,56.16
917,128.06768,35.03694,25.79
918,128.33089,34.99052,7.03
919,128.47669,35.55142,30.0
920,128.39915,35.29336,8.92
921,128.8314,34.9931,73.26
922,128.92911,35.48645,138.03
923,129.2511,35.275,65.0
924,129.36028,35.35866,22.23
925,128.82299,35.37435,8.68
