지점,지점명,LON,LAT,FFMC_top10fwi_mean,DMC_top10fwi_mean,DC_top10fwi_mean,ISI_top10fwi_mean,BUI_top10fwi_mean,fwi_top10per_mean
588,남산,127.64289,37.79066,86.07560395450915,33.44313306891958,148.9191184971885,3.09968385667778,41.27510111834213,7.659101521587204
591,치악산,128.05047,37.41553,87.35054017389643,33.59238444900803,135.887111382744,3.9405662862332087,40.12018341759373,9.360448442945208
592,부론,127.74866,37.23162,87.35934472691666,38.053924730682176,160.50064898284262,3.976685575185779,46.16652429898455,10.176698830493729
593,양양영덕,128.54069,38.00731,88.11594832300727,25.6016811188792,103.89364065143573,10.739709336189923,30.584401161741837,16.49816901439415
594,서화,128.20849,38.21832,86.02364671659493,33.01849101875255,142.02058254205474,3.4736987696172528,40.0949380451763,8.232555657679184
595,진부령,128.37401,38.26644,86.62978026455252,20.90720989260349,85.85469741914983,5.870578964130737,25.17342537930042,9.319681842771207
596,오색,128.45102,38.07751,87.40714981486437,25.876515536137152,98.02079265977717,5.207075926271202,30.371965060676295,9.488544019890732
597,대화,128.44108,37.54548,85.95358813098451,23.98730736671194,115.64267255817691,3.4368269119197334,30.145661567114626,6.944201256930198
650,양지,127.27141,38.25091,85.94131498455509,26.978571267366515,124.19969467910288,3.2739777751203194,33.58027889692161,7.0313092121273835
651,외촌,127.16517,38.26399,85.95972194000514,28.419760030973748,143.842056505856,3.827097580259948,36.457946324333186,8.491529638511745
660,면온,128.35,37.55,85.78065997176303,24.069369005059357,114.53380934885433,3.2202812063803945,30.220884814342195,6.549749619745883
661,현내,128.40191,38.54251,88.33321269922187,26.65027777218776,103.5522294454504,7.949564690581906,31.054075458878625,13.581115204283542
670,양양,128.62954,38.08874,88.37973535386918,31.274763502978253,117.48483531253176,6.900619578419453,36.63434122544981,13.207536005311374
671,속초조양,128.57608,38.1922,88.10076168461745,32.6044971826863,126.10893639868068,5.295537803373863,38.54049376101866,10.997740945441915
674,사북,128.8214,37.2197,86.43396397666066,22.25634185078832,93.00161311062197,5.339459242455007,26.77205144331219,8.845864983324349
675,남이섬,127.52769,37.78978,86.02625167659484,31.01775286230327,150.23497468306485,2.964827262983253,39.01683287336266,7.1513068750321285
677,달방댐,129.02129,37.51728,87.90876106748708,33.37304120487552,159.8494540148819,5.428255625072579,41.26622518355076,11.62275458392692
678,강릉성산,128.77858611,37.72483056,85.72119175353835,21.9176501204875,92.44920312221348,4.2063131451232865,26.179223538657077,7.2130948078964945
679,강릉왕산,128.7726,37.61099722,85.08726614743617,20.964434583673007,103.26591913438962,3.374594466363269,25.87409729080739,5.8822569332511865
680,평화,127.8441,38.21274,85.9599384604372,29.18978971442612,132.9435908532369,3.085101890729182,36.29531558547865,7.065763261357509
681,간동,127.79064,38.0512,85.92609520592211,26.860767860241218,122.44828545354045,2.9822391947283515,33.39097896318965,6.470106958264521
682,임남,127.86251,38.28317,85.34449478109921,23.898096779458243,115.15087204485874,3.9934836784087784,30.184217539110545,7.678611807703705
684,춘천신북,127.7763,37.95461,87.51716406253604,43.76779263823034,168.02637498192732,4.359577295809121,51.474013757537435,11.74153583507762
695,광덕산,127.43197,38.11619,85.23946491972725,20.20720685630182,103.44739024633537,4.591591039002155,25.699314006587137,7.876559318861896
